"Server","Проект / сервис","Владелец","Чат / группа (reddy)"
"ams-mpartners3","Integration / CRM","Суханов Влад / Хохлов Алексей","Вопросы по MongoDB"
"ams-mwuf1","LiveRisk","Кудрин Илья","Live: Работы на mongo"
"ams-mwuf2","LiveRisk","Кудрин Илья","Live: Работы на mongo"
"ams-mwuf3","LiveRisk","Кудрин Илья","Live: Работы на mongo"
"ams-mwuf4","LiveRisk","Кудрин Илья","Live: Работы на mongo"
"ams-mwuf5","LiveRisk","Кудрин Илья","Live: Работы на mongo"
"sc-ams99-x-prod-wufarchive-mongo-1","LiveRisk","Кудрин Илья","Live: Работы на mongo"
"sc-ams99-x-prod-wufarchive-mongo-2","LiveRisk","Кудрин Илья","Live: Работы на mongo"
"sc-ams99-x-prod-wufarchive-mongo-3","LiveRisk","Кудрин Илья","Live: Работы на mongo"
"sc-ams99-x-prod-live-mongo-1","LiveRisk","Кирилл Водинский","Live: Работы на mongo"
"sc-ams99-x-prod-live-mongo-2","LiveRisk","Кирилл Водинский","Live: Работы на mongo"
"sc-ams99-x-prod-live-mongo-3","LiveRisk","Кирилл Водинский","Live: Работы на mongo"
"sc-ams99-x-prod-live-mongo-4","LiveRisk","Кирилл Водинский","Live: Работы на mongo"
"sc-ams99-x-prod-live-mongo-5","LiveRisk","Кирилл Водинский","Live: Работы на mongo"
"sc-ams99-x-prod-livearchive-mongo-1","LiveRisk Архив","Кирилл Водинский","Live: Работы на mongo"
"sc-ams99-x-prod-livearchive-mongo-2","LiveRisk Архив","Кирилл Водинский","Live: Работы на mongo"
"sc-ams99-x-prod-livearchive-mongo-3","LiveRisk Архив","Кирилл Водинский","Live: Работы на mongo"
"sc-lux99-x-test-mlive-mongo-1","live","нет инфо!","Live: Работы на mongo"
"sc-lux99-x-test-mlive-mongo-2","live","нет инфо!","Live: Работы на mongo"
"sc-lux99-x-test-mlive-mongo-3","live","нет инфо!","Live: Работы на mongo"
"sc-ams99-x-prod-mqueue-mongo-1","live","нет инфо!","Live: Работы на mongo"
"sc-ams99-x-prod-mqueue-mongo-2","live","нет инфо!","Live: Работы на mongo"
"sc-ams99-x-prod-mqueue-mongo-3","live","нет инфо!","Live: Работы на mongo"
"ams-mtestlms1","live","нет инфо!","Live: Работы на mongo"
"ams-mtestlms2","live","нет инфо!","Live: Работы на mongo"
"sc-ams99-x-prod-notifi-mongo-1","Мобильные уведомления","Кирилл Водинский","Вопросы по MongoDB"
"sc-ams99-x-prod-notifi-mongo-2","Мобильные уведомления","Кирилл Водинский","Вопросы по MongoDB"
"sc-ams99-x-prod-notifi-mongo-3","Мобильные уведомления","Кирилл Водинский","Вопросы по MongoDB"
"sc-lux99-x-test-notifi-mongo-1","Мобильные уведомления","Кирилл Водинский","Вопросы по MongoDB"
"sc-lux99-x-test-notifi-mongo-2","Мобильные уведомления","Кирилл Водинский","Вопросы по MongoDB"
"sc-lux99-x-test-notifi-mongo-3","Мобильные уведомления","Кирилл Водинский","Вопросы по MongoDB"
"ams-mline1","Линия","Дмитрий Поздняков","Вопросы по MongoDB"
"ams-mline2","Линия","Дмитрий Поздняков","Вопросы по MongoDB"
"ams-mline3","Линия","Дмитрий Поздняков","Вопросы по MongoDB"
"ams-mline4","Линия","Дмитрий Поздняков","Вопросы по MongoDB"
"ams-mline5","Линия","Дмитрий Поздняков","Вопросы по MongoDB"
"ams-mline6","Линия","Дмитрий Поздняков","Вопросы по MongoDB"
"ams-mlinehist1","Линия Архив","Дмитрий Поздняков","Вопросы по MongoDB"
"ams-mlinehist2","Линия Архив","Дмитрий Поздняков","Вопросы по MongoDB"
"ams-mlinehist3","Линия Архив","Дмитрий Поздняков","Вопросы по MongoDB"
"sc-lux99-x-test-mline-mongo-1","Линия","Дмитрий Поздняков","Вопросы по MongoDB"
"sc-lux99-x-test-mline-mongo-2","Линия","Дмитрий Поздняков","Вопросы по MongoDB"
"sc-lux99-x-test-mline-mongo-3","Линия","Дмитрий Поздняков","Вопросы по MongoDB"
"sc-ams99-x-prod-mcrm-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-prod-mcrm-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-prod-mcrm-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-crm-prod-bonusdrive-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-crm-prod-bonusdrive-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-crm-prod-bonusdrive-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-crm-prod-bonuspromotions-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-crm-prod-bonuspromotions-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-crm-prod-bonuspromotions-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-crm-prod-freespins-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-crm-prod-freespins-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-crm-prod-freespins-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-crm-prod-marketingpromo-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-crm-prod-marketingpromo-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-crm-prod-marketingpromo-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-crm-prod-mcrm-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-crm-prod-mcrm-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-crm-prod-mcrm-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-crm-prod-promocodescasino-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-crm-prod-promocodescasino-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-crm-prod-promocodescasino-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-crm-prod-tournaments-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-crm-prod-tournaments-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-crm-prod-tournaments-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-prod-crmcj-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-prod-crmcj-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-prod-crmcj-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-prod-mcrm-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-prod-mcrm-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-prod-mcrm-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-prod-mcrmcl2-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-prod-mcrmcl2-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-prod-mcrmcl2-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-prod-mcrmcl2-mongo-4","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-prod-mcrmcl3-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-prod-mcrmcl3-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-prod-mcrmcl3-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-prod-mcrmcl4-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-prod-mcrmcl4-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-prod-mcrmcl4-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
